scan number,sample description,temperature,humidity,wavelength,intensity
1,['bare galss near sample-001'],,,380.61688232421875,0.25185185185185194
2,['T22.12-H50.19-001'],22.12,50.19,445.6651916503906,0.5514670037013633
3,['T22.12-H50.19-002'],22.12,50.19,445.6651916503906,0.5474406427733142
4,['T19.63-H0-Nikon-Tplan-10x-001'],19.63,0,427.2432556152344,0.553478042839745
5,['T19.95-H68-Nikon-Tplan-10x-001'],19.95,68,458.12200927734375,0.53781749207196
6,['T19.78-H25.5-Nikon-Tplan-10x-001 '],19.78,25.5,433.20416259765625,0.5452319093658162
7,['T20.08-H22.6-Nikon-Tplan-10-001'],20.08,22.6,433.20416259765625,0.5492354870309638
8,['T19.79-H65.25-Nikon-Tplan-10-001'],19.79,65.25,456.4974670410156,0.5179364072832684
9,['T19.78-H75.00-Nikon-Tplan-10-001'],19.78,75.00,463.53662109375,0.5187611999507544
10,['T19.78-H75.00-Nikon-Tplan-10-002'],19.78,75.00,462.4537658691406,0.515312860578594
11,['T19.60-H27.15-Nikon-Tplan-10x-001'],19.60,27.15,434.8297424316406,0.5376082474226803
12,['T20.27-H0-Nikon-Tplan-10x-001'],20.27,0,425.075439453125,0.5315234634870273
13,['T20.27-H0-Nikon-Tplan-10x-002'],20.27,0,425.075439453125,0.5386367125530934
14,['T20.43-H83-Nikon-Tplan-10x-001'],20.43,83,481.39794921875,0.48678402151867156
15,['T19.95-H14.90-Nikon-Tplan-10x-001'],19.95,14.90,431.57855224609375,0.5318709790747206
16,[' T19.78-H17.3-Nikon-Tplan-10x-001'],19.78,17.3,431.57855224609375,0.538524032233274
17,['T20.34-H80.32-Nikon-Tplan-10x-001'],20.34,80.32,472.7392578125,0.5063828248369636
18,['1-T21.88-65.53-NikonTplan-10x-001'],21.88,,454.8728332519531,0.5284430440653762
19,['19-T20.27-H0-NikonTplan-10x-001'],20.27,0,427.2432556152344,0.5356878477445853
20,['20-T20.14-H3.19-NikonTplan-10x-001'],20.14,3.19,427.2432556152344,0.537813119373403
21,['21-T20.11-H11.72-NikonTplan-10x-001'],20.11,11.72,427.2432556152344,0.5325835183991212
22,['22-T20.11-H70.47-NikonTplan-10x-001'],20.11,70.47,455.9559326171875,0.5311931514178705
23,['23-T20.14-H13.48-NikonTplan-10x-001'],20.14,13.48,428.8690490722656,0.5430792584755508
24,['24-T19.96-H27.92-NikonTplan-10x-001'],19.96,27.92,431.0366516113281,0.5461732102636576
25,['25-T20.11-H34.90-NikonTplan-10x-001'],20.11,34.90,435.9134216308594,0.5424622399544029
26,['25-T20.50-H67.62-NikonTplan-10x-001'],20.50,67.62,452.70654296875,0.5515733419396481
27,['27-T20.50-H67.62-NikonTplan-10x-001'],20.50,67.62,452.1649475097656,0.5508444241970649
28,['28-T21.07-H72.17-NikonTplan-10x-001'],21.07,72.17,458.12200927734375,0.5254438220562521
29,['29-T20.91-H76.36-NikonTplan-10x-001'],20.91,76.36,463.53662109375,0.5316471280248417
30,['30-T20.11-H30.57-NikonTplan-10x-001'],20.11,30.57,433.20416259765625,0.5543251416159121
